name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
SS3,,,,,,,90849.84078125,1340.3270865682,82493.106875,1210.0882384026,926685.6990625,53022.4650531522,22737422.1878125,2122874.64981268,656951.4153125,44247.4124456339,386346.72484375,12585.2234585855,16013.94578125,389.6668470601,232.34375,49.8885165875,139.296875,35.9438184577,727697.83953125,24340.6797225312,161507.3625,9151.1756508936,839061.946875,37730.6036209654
SS4,,,,,,,89512.0259375,1256.1602450763,81733.23296875,1246.3331035554,885514.4446875,60896.8721365137,22020401.3710937,1841536.365846,646942.274375,57239.3066483023,310807.72,11048.8705331633,17655.318125,389.4387568164,228.203125,42.1483320529,85.703125,25.4306899254,686360.0915625,28417.8374842812,66714.4003125,5566.557572627,820097.03796875,35771.6041668978
DUR49,0.0552,,,,0.9667,0.007256032,36070.47921875,732.1814768283,439896.58375,4592.0952970694,988269.50765625,73918.3787366459,11903595.115,1078895.30419285,73452.7406250002,34252.945459779,208432.41203125,17067.3685382976,65477.18015625,983.271085514,180618.650625,1951.4831259171,207129.8378125,2008.3663254247,1015005.151875,50698.8649954345,233410.26875,20196.3173988532,1174988.515625,58254.7811682969
DUR50,0.0551,,,,1.1938,0.008845903,46131.389375,851.4413990887,559875.655,6690.789715668,1521895.4378125,139707.551869658,17770091.3771875,1652489.10683535,88096.2667187499,30956.2730214545,198574.89203125,18182.6601911504,98174.42203125,1179.7931731414,182378.2275,2084.864684635,207517.79515625,2373.3954486441,1619015.3896875,63281.5544216906,326987.05109375,33286.9603576586,1772445.98984375,80851.425963224
C1,0.0542,338.9,234.5,,2.1025,0.0143784561,709327.1940625,69979.3081503866,125227.9690625,9312.1040833922,9963681.360625,809849.061228928,120460475.497813,14689344.7531685,860212.742499999,425621.01306179,308405.863125,43788.838097284,1021042.14625,63213.6276426746,183741.3725,16543.2969502072,206256.78234375,14440.1702505283,633194.86015625,32008.3813383763,61225689.6685938,4255005.01776839,40404784.5557812,2383526.70946
C2,0.055,324.7,203.5,,3.1844,0.0200631503,929455.34765625,140453.14414444,267157.944375,35274.7184143302,10994520.855,1241783.48035225,130545382.2025,19475062.5326623,904279.701875,619636.015125508,336414.01515625,76267.4412920875,1054207.3903125,119789.729094137,182609.8790625,26290.8817236153,201391.30859375,25131.8296417375,939937.15546875,85638.6776712136,85609511.7464063,9740216.87561938,52055243.55625,5702059.55375632
C3,0.0554,407.7,198.5,,4.1247,0.0239418044,1013206.394375,14118.8502896948,278671.2590625,3995.7866935627,14519778.765,959049.044201343,178065639.676094,16030255.4903476,702826.31,79349.787290847,281825.1615625,22962.6520879768,795519.4278125,6329.5899058433,187551.96984375,2602.5030281949,206129.75296875,2280.4736178111,1012057.6971875,41522.9084802762,29098569.9564063,1731514.73011117,38215597.2507813,1447079.26350031
C4,0.0548,332.1,157.3,,1.3042,0.0089805345,245128.41296875,3042.4171344648,78256.62015625,926.2689713662,9130853.070625,621411.025462885,111663981.64125,8602465.77841352,239858.6984375,33644.1505854609,272985.04265625,18781.671533298,608572.301875,5498.7549317107,182214.7803125,2337.6087743098,205210.880625,2313.2261423868,4350425.15390625,178189.422103858,14010288.6009375,665888.42395178,24214690.7603125,1113202.6171931
C5,0.0552,314.9,210.3,,1.7967,0.0124679589,173056.550625,2333.9960779539,51000.3659375,974.6504416989,3808079.86140625,305644.22206697,45347740.1134375,4542066.94860698,826608.01453125,43564.4126258539,481397.60296875,32409.6713646006,337020.1078125,6396.1951079641,163405.3690625,2144.6874070653,184093.9478125,2144.2188725889,854214.5378125,34017.0578405937,17466048.505,886828.852313337,9811009.69,422550.435585605
