name,spike,length,width,height,He,err,U,err,Th,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],235,[cps],230,[cps]
DUR1,0.0603,,,,7.8917,0.01,198958.054375,3692.1324595726,3182940.968125,53123.430977219,134370.90234375,2995.2315466558,166221.98328125,3171.3149422258
DUR2,0.0592,,,,1.9635,0.01,45234.72390625,1022.9133657519,629180.356875,11473.7924426797,131594.54734375,2572.3831013022,162231.905625,2887.1730560538
DUR3,0.0586,,,,2.9762,0.01,84206.06546875,1546.9701961444,1039898.08625,20750.8384230374,131101.3684375,2840.3797007545,163035.2578125,2857.9269668984
DUR4,0.0586,,,,3.3596,0.01,71692.46359375,1436.5051867948,1183912.76203125,16694.3151057322,132713.91890625,2917.4405919344,165559.31359375,2935.5931879136
26-1,0.0598,169.08,97.99,,0.8858,0.01,46111.66890625,967.3785586261,14397.4259375,396.076741655,132526.06625,2568.9441140478,164487.0175,2946.9835081047
26-2,0.0605,129.24,85.16,,0.306,0.01,23323.19296875,654.0866724735,10219.21875,375.2461478139,133286.57203125,3187.7126008677,163296.291875,2706.0991794093
26-3,0.0605,201.58,83.82,,0.6056,0.01,37551.669375,903.2849260943,39898.36703125,971.7483887008,133947.776875,2490.8581889779,165917.38078125,3541.9111027578
26-4,0.0606,123.16,78.63,,0.3509,0.01,24942.74921875,726.1820018447,12279.41421875,383.0827168482,133403.12,2520.1512062666,163250.13859375,3596.4168324019
