name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
SS1,,,,,,,65662.09515625,1366.413501904,65270.61203125,1084.8361627122,887618.349140625,34680.9125445994,21158413.0599219,660267.078687873,1570930.84984375,345596.957045051,175400.711328125,7261.7545088734,14191.3490625,375.1183307906,149.53125,50.0870398161,23.28125,33.6092560652,740574.732734375,29918.6122138722,131008.722890625,9292.3152859596,1020725.610625,40034.8517095326
SS2,,,,,,,63950.61921875,1792.1510428627,58949.45296875,1693.8299890918,772588.888046875,124900.217032147,18140757.5117969,2470164.70484981,1488987.64421875,363867.843532873,191974.605859375,15965.1857269999,11933.69359375,443.4065543559,139.296875,47.8831404451,20.78125,33.425746154,634643.079609375,68060.6236702188,183322.941953125,29977.2861198043,701612.9771875,69840.4451115209
SS3,,,,,,,382663.7075,6822.2568217533,94827.03875,1992.2216078492,2385325.91289063,359516.086396915,18843877.0214844,1982267.18190159,1607852.22828125,347986.875392761,171335.772265625,17020.9742149961,17291.225,566.5730085336,2460.27265625,154.2699011993,18.59375,32.628998417,798291.522578125,93845.9599141698,182376.519140625,25816.5318778286,980108.66015625,100055.346952015
SS4,,,,,,,64146.91,2112.7329481846,58918.62703125,1598.260619185,734336.737734375,125576.17493886,18566884.6324219,2175320.06749836,1507653.09234375,358876.057160243,154119.119765625,16302.7156129897,11825.1025,410.5747284943,148.59375,53.8362748901,24.921875,32.0462060999,531235.281328125,72488.972298308,122250.986796875,20168.0824161183,699889.81921875,60989.6796296385
DUR1,0.0593,,,,8.359,0.058031199,198958.8746875,3692.2449577725,3182941.3978125,53123.4347849294,9826770.61671875,406403.090408444,121978967.840781,4450344.6097497,208341.833749999,347831.737315121,615164.84078125,15853.2296603077,527009.48234375,8241.6306536438,134369.80859375,2995.2863942052,166220.65515625,3171.3534780007,8654154.34046875,304201.569036744,1496217.289375,57112.9716510912,10252729.2896875,342475.348096965
DUR2,0.0593,,,,1.9651,0.014611297,45235.54421875,1023.3193455616,629180.7865625,11473.8100722901,1986909.680625,126831.811651801,25703083.2129688,1007408.03018301,-69941.457500001,339310.062265505,559246.6546875,14888.9063960019,103577.8971875,1755.4849218414,131593.45359375,2572.446964486,162230.5775,2887.2153842839,1757325.82265625,66447.2654850533,232089.87890625,30753.3362413373,2028444.2525,70834.5249502692
DUR3,0.0593,,,,2.9763,0.022073514,84206.88578125,1547.2386748417,1039898.5159375,20750.8481710097,3008657.09421875,115092.961915568,36898922.5248437,1837214.33226255,-173601.39265625,328350.936637755,469760.01171875,11735.5997898441,147248.94203125,2280.6973752805,131100.2746875,2840.4375384237,163033.9296875,2857.9697282806,2441664.04859375,104784.552776893,273316.6209375,34621.8954514995,3053704.0046875,111123.124384446
DUR4,0.0593,,,,3.3629,0.024865237,71693.28390625,1436.7943070791,1183913.19171875,16694.3272223462,3878532.5503125,164514.397181591,48647546.7125,1730059.90442148,-154408.610625001,326270.534966203,511254.521875,11726.7583500647,216799.7415625,3284.4823571709,132712.82515625,2917.4969019169,165557.98546875,2935.6348179853,3315758.47515625,112740.52839924,369972.130625,30996.5312981024,4299291.644375,141278.015614953
XU1,0.0596,,,,18.9537,0.138411705,432131.6453125,8934.6659636266,959.134375,103.6602040145,797562.05265625,59957.4917370944,10890730.1226562,321762.292043889,-628425.117968751,271571.318790867,410530.1921875,14410.746027004,82.109375,43.2767774249,132192.41765625,2647.6324172443,163040.1753125,3336.4424828882,30594384.7501562,1237439.73392981,5792825.4296875,244749.476237362,-12161.79328125,874.1871069798
XU2,0.0592,,,,51.1935,0.369147152,1187971.985,23563.5108833759,1131.17640625,120.0475315346,800925.1253125,45131.4941727265,10276142.6571875,354275.600263058,-639157.718125001,279092.657109768,412244.228125,12189.8006687164,303.1253125,60.671721917,138129.91546875,3632.2657995401,162247.4696875,3689.9632087752,18096564.2801562,725283.009910238,7116752.8159375,296208.086274763,-4176.79515625,1674.4985438011
XU3,0.0594,,,,68.7948,0.478653319,1493673.99140625,34120.9499438374,1497.26375,234.920353677,1238615.19078125,86068.8609148449,16220557.755625,543076.614764707,-187936.135625001,274010.364178832,438052.27984375,13813.1976674818,420.55390625,68.828578985,139398.2634375,3441.1643122825,161182.44265625,3205.3624940555,22299809.8328125,856649.730083262,10127498.4642188,334619.240740313,-3810.9346875,1444.8942123254
XU4,0.0593,,,,60.6483,0.433250009,1096903.5615625,28125.6135617233,12260.76765625,416.7652583463,914031.56515625,41279.8195735952,11913340.179375,442845.035265496,-627845.196406251,264282.953792503,438202.035,11410.1918314322,545.63484375,66.7476660208,138364.866875,3099.3838348356,164271.38234375,3599.6034294257,20506730.6182813,827520.680066881,7078416.62140625,292015.235607503,-2713.2453125,1547.1485085438
XU5,0.0591,,,,143.8336,1.027341837,3274185.19015625,67777.0287304097,2096.2765625,146.8642841684,2671769.91984375,136671.528437184,33011245.5825,1260113.86380859,-526965.861250001,252426.914752634,439777.4853125,11929.8785498291,520.47859375,79.2658606417,152271.2634375,3555.485356287,162623.970625,3329.3671777305,60791053.0521875,1810505.06613383,23740977.8815625,802869.740921017,28293.51625,2876.3889376932
XU6,0.059,,,,42.3207,0.342412281,958601.88765625,18655.3872160424,1489.80046875,106.5740266227,2158139.13421875,116156.051821071,26483133.180625,997933.749646662,-85968.7425000006,278127.533903098,425033.63296875,12582.8294239099,383.90984375,70.0363383471,134335.77546875,2978.1841795445,162123.225,3536.6439891869,76307464.0432812,3641074.04766124,13752750.4864063,564583.37856423,11371.83109375,2092.1086707523
XU7,0.0589,,,,60.6313,0.438137079,1405532.7259375,27831.8508921802,1598.7965625,126.6323743775,1139552.73875,64069.9761299569,14989389.4907812,675202.798638116,-577691.319375001,268192.193239903,499746.78921875,12130.0977812816,288.35953125,63.7665629867,137673.3590625,2790.0028104146,162236.07890625,3576.9824209051,28546029.6015625,1083601.07313752,10367595.1864063,455714.063057054,6823.20953125,2282.7645798567
XU8,0.0589,,,,25.8221,0.185445329,522036.6809375,13175.5253022717,1357.21078125,138.8446593647,504188.49375,34057.572270713,7058995.8684375,295689.135262646,-597362.922343751,256606.038746701,438472.34171875,13197.419946466,237.578125,58.5437319581,129099.73453125,2981.2204706739,157393.63875,3463.2176510568,14579644.035625,653186.978846526,3715830.2365625,175005.488435092,-9721.95546875,1260.9668747668
