name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps]
SS1,,,,,,,80391.6154285715,1584.2327787255,78275.0375714285,1643.9587779766,1521048.35364286,62960.5288337201,21326477.5945,766707.098505159,1111414.18235714,959584.283050253,1112457.68528571,23228.2467088363,15432.773,403.8671445454,208.1785714286,42.40352587,363.7554285714,84.6845168598
SS2,,,,,,,76603.8112857143,1084.6172282016,75454.348,1386.3787960034,884828.247214285,32609.4798828931,21305010.2056429,719365.652254201,133604.862357143,44150.3474079457,145286.126142857,5948.4995053447,14518.6875714286,389.31604592,168.3928571429,44.9232149127,104.3928571429,38.4528024001
SS3,,,,,,,76791.4858571428,1793.1148200383,73626.1004285714,1354.596516299,956645.097357143,32900.7897080333,23786124.0779286,755973.209579231,95768.2872142856,49458.7684714544,207900.173857143,6551.732857395,14978.2982857143,436.6554959432,260.8931428571,51.321984065,279.2512857143,68.8679144355
SS4,,,,,,,76482.3862857143,1266.80913689,73167.7138571429,1195.7096504843,952786.288071429,44190.942632502,23572820.8145,828032.933397205,129453.952357143,42815.1028554875,173713.249857143,8010.423959632,14799.5707142857,400.9018424193,262.036,53.9354230343,182.3928571429,54.162215138
G1,0.0554,100,91,,4.889,0.0355185867,87776.5338571429,1434.1102103833,114097.708857143,2099.2115470204,1564719.78628571,63782.1535382604,18442731.4158571,705343.532580837,543505.828571429,46037.9027937236,195039.660857143,12425.7811640338,231454.944714286,2995.9544760796,151354.044,2778.6452523609,184519.621857143,3251.8192202873
G2,0.0553,98,97,,1.2731,0.0094244363,64457.5292857143,1173.1435697642,182299.735571428,2342.6506991624,1302156.24971429,42676.0500888124,15570234.946,359086.211828512,221675.033428572,38630.5408537629,217181.182714286,12936.5014597447,181062.614571429,2338.2740865053,151070.127285714,2600.3939489796,183641.607285714,2958.6008927507
N1,0.0558,111,96,,0.0405,0.0041012193,11367.3178571429,314.1513839772,10825.0691428571,331.9300909841,283410.615142857,12537.1542948983,3212298.88528571,105926.039228449,76849.0644285714,41057.5199242743,128121.307571429,11579.9518905813,24115.6292857143,487.6848811144,152247.501142857,2327.7310457863,184521.255714286,2820.4122204662
N2,0.0559,108,105,,0.0076,0.0041012193,11461.0991428571,346.2554872594,13926.3098571429,368.1936804498,346488.712857143,15100.9995844194,3878983.75214286,142390.101758488,63929.2998571431,42400.0464258653,86748.9449999999,13429.6557095739,4140.142,193.6983827426,152313.144,1970.0198303897,184470.277714286,2544.2322398958
N3,0.0554,150,76,,1.4851,0.0109201648,22534.8398571429,559.4546520678,125939.461571429,1966.787898595,585677.211857143,25266.188863241,6220181.41614286,165286.636996212,70658.6705714285,39943.0092616698,138890.757000001,15142.4612768766,69987.9037142857,1155.7069508492,152436.089,2514.7277858809,184560.374285714,2981.3973436452
N4,0.055,127,73,,1.5599,0.0119570063,47417.2068571429,1017.6037081607,286783.087428571,4299.940440636,403948.542714286,20943.0692435008,4661435.04242857,175632.951829908,99242.2745714286,42969.926100726,224486.603571429,14488.9987278573,65597.4217142857,1184.4565131481,151948.955285714,2147.6523903675,184303.796285714,2841.5574081051
N5,0.0557,135,79,,0.7448,0.0066640828,29437.8121428571,769.6381157569,33983.0855714286,1206.4402622804,425652.815714286,18448.0762703975,4933490.271,214338.276464438,67458.5072857143,46492.0207763361,127496.147,11175.2642891518,53180.3927142857,874.6397780833,147181.289142857,2558.0840116972,178138.646428571,2362.5849917846
N6,0.055,121,98,,0.6962,0.006574192,37292.9285714286,879.3994917833,27123.195,591.332066275,973633.260571429,30845.0111817237,6730016.72328571,214851.745463349,278765.787571429,162591.737225097,20682.2984285716,10843.6035939437,34448.0722857143,616.7744734214,149284.847857143,2537.0322775693,176552.478428571,2619.2351103105
G71,0.0558,288,131,,0.7572,0.0067542579,43144.3662857143,830.7894593597,94565.5174285714,1335.0346544248,2797555.856,93179.8248304494,33244771.3452857,934738.488707416,313647.242285714,95051.5712141202,199286.642,13983.2144042385,420035.729714286,5316.4112529243,151896.866285714,2464.9960575241,183687.961285714,2344.7038064045
