name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err
G72,0.0546,237,135,,0.6436,0.006306346,63498.2208571428,1294.0990397326,62134.7758571428,1107.5679331637,2025595.41542857,70172.3940494409,24532537.3554286,642249.689564788,233841.260285714,44628.2486526524,212834.968428572,12950.5570523159,258520.161142857,2928.578677859,147866.061428571,2718.8571609294,179789.585428571,2688.6411388567
G73,0.0549,239,141,,0.7476,0.006844706,53745.8511428571,1102.2219989331,95333.0624285714,1608.6676995499,1973146.16471429,50615.5787706384,23625463.2948571,627524.365101949,214771.657428571,41480.7217765053,168994.222571429,10844.9982833276,260364.983,2914.1287417073,149259.715428571,2717.2837744377,180448.584,2901.2993282882
G74,0.0547,229,116,,0.6184,0.0059539903,50053.5014285714,1201.3407297565,77165.2667142857,1572.9708080237,1391154.60814286,46615.8734376026,16621088.5848572,514413.682235928,154441.58,47289.2956671115,345102.425000001,19160.8071143944,224298.862571429,3106.9453951321,151831.2,2595.8580175025,181640.158857143,3121.1436983309
G75,0.0554,228,119,,2.0716,0.0151990131,113496.951571429,1902.3903862724,204522.213428571,2791.8140394711,2269997.06328571,86528.7453173221,27190116.9688571,1305544.18324452,255509.544857143,36309.5868469283,164902.052142858,14627.7391883228,466142.618571428,5480.7383891341,152114.177857143,2337.6573667831,184266.053285714,2672.4651359257
S1,0.0553,399.85,147.56,,0.501,0.0036069378,91781.7257142857,1398.4854744419,123390.776857143,1893.6221540898,4246777.49885714,148025.25502896,50842394.1044286,1633536.58557629,252198.227857143,42876.2370268625,220315.806428572,13908.4209735728,177991.754428571,2102.0288538931,150424.146,2386.757743321,182680.363857143,3018.7132777496
S2,0.0552,266.2,140.9,,0.2456,0.0021260292,75303.8275714286,1464.9478360001,136319.463142857,2195.2707911594,3324362.40585714,93422.5302185545,39245961.3,883099.728613557,258303.178857143,65430.9351984145,358313.758571429,17096.104636901,148872.273857143,1881.7782331015,153572.212857143,3068.8600811372,186521.912285714,3094.0989830823
S3,0.0554,258.29,117.42,,0.1357,0.0016492423,44173.818,1024.2925779127,54510.8011428572,1057.3657783893,2033224.726,75368.4211948932,24207993.4197143,728354.819577801,154083.907857143,43997.6764354858,277748.461,15449.8093595862,72423.4542857143,1104.9064760731,154073.884285714,2497.2301883142,186495.314,2952.7306101324
S4,0.0556,249.74,96.39,,0.1732,0.0017,38314.6925714286,911.5985352716,69259.8337142857,1208.3648849056,1261922.77614286,43570.7413501148,14759996.1767143,483366.066320559,159583.477428572,42806.5554954304,785247.983285715,26861.7224651873,49880.081,780.903897927,155279.382857143,2315.9870358365,183647.945714286,2379.8099745218
S5,0.0545,201.5,89.69,,0.1945,0.0017888544,22608.5175714286,642.5863199747,23638.8497142857,519.3913461802,900506.669285714,37283.3273251523,10331942.9752857,314147.117560427,138312.082571428,47258.2922806355,307345.72,13672.8127080216,30002.8902857143,542.6952834948,152479.323714286,2765.1055851587,182298.642571429,2543.717887324
S6,0.0554,327.05,158.93,,0.6742,0.0047549974,68205.9291428571,1273.3549194575,102153.340428571,1565.4832662221,3914683.13814286,147643.340318838,46770339.861,1669882.60743876,282646.216714286,48044.4076406386,492167.299000001,71656.0558487839,138783.429714286,1806.5815512898,152461.831285714,2942.433913841,184119.583714286,3234.7963220411
S7,0.0558,349.82,175.79,,0.5389,0.0037013511,111698.156571429,1807.7590190884,178689.086571429,2882.1445049401,6563317.96885714,231162.058521103,79815197.5194286,1772582.46553561,355100.853142857,52728.5616712731,274599.369571429,16786.0444706556,267722.400285714,4117.1147718806,155821.827285714,2431.8800729584,189850.469428571,2941.4973786536
S8,0.0552,444.38,213.16,,2.1438,0.0140164189,179161.555857143,2935.9929796383,284818.107857143,4052.5627286901,10477676.7337143,370019.452604291,127436983.852286,4053687.70985352,562776.758857143,69173.4148333387,294345.303571429,14072.880142319,550532.89,7494.7659551618,154225.879571429,2791.7727303718,187480.103428571,3157.3894158711
S9,0.0553,394,176.81,,1.4204,0.0092330927,141517.111857143,2070.8629604555,314644.478857143,4580.4192625641,8052858.88971429,346047.063849815,98056285.2495714,2750329.81231235,423511.111428571,48640.5012205502,603844.891285715,21356.2551359035,346228.053714286,3959.4849910395,157303.255857143,3009.9308542414,190319.876571429,2336.5170109951
S10,0.0546,328.93,117.43,,0.4432,0.0033955854,49609.9722857143,1044.6473683791,79448.6702857143,1360.4191024284,2635568.50728571,101428.911352647,31763065.5522857,959993.322846142,228459.060857143,45999.247629039,268965.982857143,17990.0382505902,121971.239571429,1701.2888902713,154528.454285714,2602.5033379814,186333.199714286,2675.8963437285
S11,0.0552,177.42,87.41,,0.3628,0.0028653098,32724.8165714286,701.834550225,125485.946714286,1868.8651471234,839548.198285714,25422.5262694429,9716366.109,223634.563885217,165981.826142857,49236.3933611258,207345.444714286,15826.6848586322,114546.759285714,1580.3836645412,156829.601142857,2670.1172284977,187744.679,2562.9717871039
S12,0.0554,190.92,90.96,,0.3295,0.0026248809,30886.4551428571,617.6008476419,111874.022,1915.8271649555,978754.877,37891.711624058,10180918.798,324898.874201027,876856.096142857,109969.15722588,350879.866857143,16003.0395022048,104825.576714286,1542.667170871,156335.682142857,2681.3698079445,186771.053428571,3067.2555834004
S13,0.0556,287.92,97.58,,0.6972,0.0047728398,75444.7278571429,1731.0089548483,450607.670571429,6474.5630977445,1657395.14114286,60405.7186848972,19661215.4827143,755206.69091965,221117.115857143,46842.9505099155,223237.592,14707.2189500334,268751.121571429,3761.6149872461,158556.738142857,2785.4272589324,191016.133857143,3411.9296045528
DUR45,0.0566,,,,0.4059,0.0051039201,18929.1785714286,473.0615887417,169575.154,2344.9256617069,478435.173714285,16177.7472549595,5577030.98871428,146325.405529361,130875.619857143,46780.9991579704,260121.154285715,15413.4407446339,26982.5314285714,582.9773735965,157368.031571429,2600.2793663634,191054.928857143,2951.4211759538
DUR46,0.0561,,,,0.9801,0.0083216585,29468.294,704.6542022421,408283.685857143,6551.2793772673,1083938.89428571,34654.4111312636,12989574.6195714,459816.93177889,229001.664428572,49302.5871715333,326988.228285715,15196.979455068,59193.443,1072.3876062338,157303.990857143,2671.3452500402,190507.002571429,2959.5306438239
DUR47,0.0548,,,,0.6796,0.006306346,30136.3892857143,720.2381599575,298071.579428571,5366.6663693414,1030805.43914286,40502.3976961047,8482080.66828572,273326.305199991,326238.245,107777.425034453,189563.624,14670.2534559928,42219.6678571429,700.7248008362,154542.076428572,2555.9176903369,182707.464428571,2670.1389285169
DUR48,0.0551,,,,0.9376,0.0080411442,31445.4754285714,753.9835104215,383335.077857143,5147.756312812,1077859.22757143,45247.7765726034,12630243.741,513630.569121251,157019.628571429,40511.042120784,195681.634857143,13119.6652939299,55406.9075714285,973.5832274472,154920.913285714,2993.5919540006,187465.262857143,2699.3869212354
