name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
B18-5,0.0562,261.3,153.1,,0.0475,0.0013453624,88829.35328125,1429.5836862994,46058.46015625,734.8139929747,3065958.95859375,163444.214936058,39657476.1214844,2422590.82093865,423352.87296875,276648.968647146,54032.0821093752,14025.3661794825,70707.770625,1064.66363076,168783.2140625,2796.4355802,194652.99984375,1866.8494594527,2466995.1721875,66931.1317324737,2723919.855625,104404.420795355,1517308.89960938,56803.1381513737
B18-6,0.0556,318,141,,0.0791,0.001421267,96962.7053125,1736.8701857131,65691.02609375,988.4063739904,3729246.556875,152592.400921192,47831926.8899219,3950328.74087724,473468.70046875,256803.729652022,69121.1466406252,15248.83718568,151081.9459375,1651.9659662226,168074.16734375,2599.2271771782,193848.3259375,2553.9540592826,3086335.23765625,94567.7103596007,3906929.71484375,176978.638629957,3121509.65132813,73874.2881258717
B18-7,0.0564,276.6,102.3,,0.0439,0.0013453624,78962.039375,1334.3920203145,40715.72984375,711.200106923,2257675.92609375,128908.734210477,28671668.4292969,2120928.21213275,524883.194531251,377681.842100376,108579.654609375,16968.3520550705,76491.5996875,1036.1751347096,168522.51953125,2718.1947347035,193119.59,2607.5258947431,1892770.795,47155.9813589658,2543244.8734375,90436.2712080792,1551479.17664062,49411.1813183771
B19-1,0.0559,241,110.6,,0.0139,0.0012727922,43632.1421875,888.2142902055,24379.62484375,516.6852370825,1414385.16359375,65050.1976353235,18446650.4761719,1248383.52555396,395505.11640625,270320.054956573,73010.5936718751,14927.8393316581,21659.9759375,505.7287658285,167002.88171875,2296.1318487995,192894.20109375,2216.4319275724,1185914.43453125,40620.6378363934,1560611.8290625,125020.967235465,709941.609765625,23334.2319512201
B19-2,0.0568,248.9,106.9,,0.0249,0.0013453624,58855.299375,829.7767494913,34095.45421875,684.7668164519,1498807.595625,77912.0329205458,19808382.7086719,1027687.16232987,435721.692812501,257591.58569012,89836.0144531251,14538.6386773266,27790.3503125,546.7635648762,169461.7215625,2385.5789756169,196223.52734375,2610.8023391502,1313066.20890625,40265.9810814401,1650774.95875,80785.7152473895,934463.842421875,33469.5622515669
B19-3,0.0562,249.6,127.1,,0.036,0.0013453624,78817.80859375,1229.4334753279,56805.46078125,1051.1245008785,2280657.74265625,87804.2184708779,29880757.4947656,1481453.84371233,417841.780937501,256894.791767491,67310.6766406252,16440.3354295481,46150.18046875,774.8916908084,168293.61203125,2452.1304541601,192953.09015625,2122.2388563066,1933204.24234375,58412.6303101353,2273450.16140625,79100.0384536661,1377246.00148438,48114.5017987588
B19-4,0.056,196,105.3,,0.0196,0.0013453624,48692.076875,942.6068742872,29655.65625,550.4053011249,1223051.71703125,69689.0478461644,15658498.8274219,1010543.18585724,478286.804687501,260745.288760179,78318.504140625,16887.3953716835,25350.7240625,574.4499960437,168079.04421875,2495.2943888357,193541.7040625,1949.4299926207,1017994.91140625,28962.3954099784,1254306.5740625,66531.7299969341,724635.335703125,27622.4323356319
B19-5,0.0563,236.4,116.4,,0.2368,0.0021931712,62955.14828125,1135.8168350792,35521.2621875,624.5420564091,2082693.15046875,96374.9916233949,27191667.9325781,1860253.98947223,412052.75984375,263772.267625538,65176.9983593749,15569.8490893248,16769.04125,410.2900339326,168483.335,2377.9480042829,196683.94375,2196.5088808159,1796369.81921875,36820.5019479382,1475586.56953125,60323.3571450534,943772.970234375,28993.0098704513
B19-6,0.0554,212.3,117,,0.0243,0.0013453624,62989.97015625,1079.6924953239,36986.664375,570.241437872,1338311.55921875,65202.3827709402,17150412.7272656,1138222.22198626,448141.6884375,273360.447909003,70496.518515625,14142.7322435267,33138.5678125,532.4632257709,168543.1434375,2359.9759767463,194370.93453125,2340.9188959086,1090082.2371875,43274.1853799503,1669302.3134375,84370.5272063001,1025480.15054688,39032.490063552
B19-7,0.055,248.8,116.2,,0.0284,0.0013453624,77231.12578125,1166.7564739758,35591.73515625,733.7450439561,2089410.20984375,95312.5543691271,24905566.2447656,1995587.53884366,760782.0915625,1416676.50751848,34089.467890625,14460.4081791288,16838.8759375,442.6818963556,168020.571875,2109.1049882972,191287.5915625,2349.2962456684,2151463.94671875,70618.4054222451,2388615.4628125,91967.0369037821,735686.251328125,24161.1756240048
B22-1,0.0551,305.9,180.7,,0.0419,0.0013453624,98397.57375,1509.9014510546,32720.41453125,661.5108860061,4799232.20703125,256394.004589885,62862361.5032031,3911155.32201711,534973.45640625,253398.584646685,104231.987109375,15783.1499819259,41966.42609375,720.7186520183,166927.0653125,2906.5584302095,193628.16703125,2159.0793797561,5957621.26078125,149890.839487094,2605183.5096875,107430.102444619,2972136.66164062,76534.8092462926
B22-2,0.0566,358,179.1,,0.1012,0.0015,151418.85046875,2053.9317482087,87806.33921875,1334.0373473037,6808558.96140625,283687.76216488,88373455.4328906,5115737.25135651,716495.6640625,486032.478423336,92768.2655468751,12727.9150344261,273098.10375,2806.8127382204,169204.25265625,2646.4642993632,195778.93984375,3029.9251063139,5792544.7859375,120208.870548989,4667539.76328125,154292.162188175,11581313.2857031,314897.056499254
